index,id,area_name,area_type,incorporation_year,county_incorporation,population_year,total_population,name_type

4112,1133,San Raphael,M,1885,Conejos,1890,0
4127,1012,Sanford,M,1892,Conejos,1890,0
4142,1014,Sawpit,M,1896,San Miguel,1890,0
4157,1015,Sedgwick,M,1881,Sedgwick,1890,0
4172,1016,Seibert,M,1917,Kit Carson,1890,0
4187,1072,Severance,M,1920,Weld,1890,0
4202,1073,Sheridan,M,1885,Arapahoe,1890,0
4217,1074,Sheridan Lake,M,1951,Kiowa,1890,0
4232,1075,Silt,M,1915,Garfield,1890,0
4247,1076,Silver Cliff,M,1880,Custer,1890,546
4262,1077,Silver Plume,M,1880,Clear Creek,1890,908
4277,1078,Silverthorne,M,1967,Summit,1890,0
4292,1079,Silverton,M,1876,San Juan,1890,0
4307,1080,Simla,M,1913,Elbert,1890,0
4322,1081,Snowmass Village,M,1977,Pitkin,1890,0
4337,1172,South Canon,M,1891,Fremont,1890,0
4352,1135,South Denver,M,1886,Arapahoe,1890,1491
4367,1082,South Fork,M,1992,Rio Grande,1890,0
4382,1173,Spencer,M,1897,Gunnison,1890,0
4397,1083,Springfield,M,1889,Las Animas,1890,90
4412,1174,St. Elmo,M,1880,Chaffee,1890,0
4427,1084,Starkville,M,1954,Las Animas,1890,928
4442,1085,Steamboat Springs,M,1907,Routt,1890,0
4457,1086,Sterling,M,1884,Weld,1890,540
4472,1087,Stratton,M,1917,Kit Carson,1890,0
4487,1088,Sugar City,M,1900,Otero,1890,0
4502,1089,Superior,M,1904,Boulder,1890,0
4517,1090,Swink,M,1906,Otero,1890,0
4532,1091,Telluride,M,1887,San Miguel,1890,766
4547,1092,Thornton,M,1956,Adams,1890,0
4562,1093,Timnath,M,1920,Larimer,1890,0
4577,1094,Trinidad,M,1876,Las Animas,1890,3523
4592,1095,Two Buttes,M,1911,Baca,1890,0
4607,1096,Vail,M,1966,Eagle,1890,0
4622,1176,Valverde,M,1888,Arapahoe,1890,0
4637,1097,Victor,M,1894,El Paso,1890,0
4652,1098,Vilas,M,1888,Las Animas,1890,43
4667,1134,Virginia City/Tin Cup,M,1882,Gunnison,1890,209
4682,1099,Vona,M,1919,Kit Carson,1890,0
4697,1100,Walden,M,1890,Larimer,1890,64
4712,1101,Walsenburg,M,1873,Huerfano,1890,928
4727,1102,Walsh,M,1928,Baca,1890,0
4742,1103,Ward,M,1896,Boulder,1890,424
4757,1104,Wellington,M,1905,Larimer,1890,0
4772,1105,Westcliffe,M,1887,Custer,1890,192
